,Read number,Strand,Location of the gene in the read,Read length,Start,End
9,NC_029042-94,1,"[1490, 1496)",990,1490,1496
10,NC_029042-94,1,"[1657, 1691)",1023,1657,1691
11,NC_029042-94,1,"[1938, 1963)",1047,1938,1963
12,NC_029042-94,1,"[1964, 1965)",1047,1964,1965
13,NC_029042-94,1,"[2040, 2281)",1287,2040,2281
14,NC_029042-94,1,"[2282, 2283)",1287,2282,2283
15,NC_029042-94,1,"[2285, 2288)",1289,2285,2288
16,NC_029042-94,1,"[2293, 2304)",1299,2293,2304
17,NC_029042-94,1,"[2345, 2346)",1299,2345,2346
18,NC_029042-94,1,"[2375, 2384)",1307,2375,2384
19,NC_029042-94,1,"[2385, 2532)",1453,2385,2532
20,NC_029042-94,1,"[2550, 2754)",1656,2550,2754
21,NC_029042-94,1,"[2785, 2788)",1658,2785,2788
22,NC_029042-94,1,"[2805, 2950)",1802,2805,2950
23,NC_029042-94,1,"[2951, 2952)",1802,2951,2952
24,NC_029042-94,1,"[3162, 3212)",1851,3162,3212
25,NC_029042-94,1,"[3224, 3226)",1852,3224,3226
26,NC_029042-94,1,"[3232, 3239)",1858,3232,3239
27,NC_029042-94,1,"[3249, 3253)",1861,3249,3253
28,NC_029042-94,1,"[3264, 3280)",1876,3264,3280
29,NC_029042-94,1,"[3315, 3317)",1877,3315,3317
30,NC_029042-94,1,"[3320, 3532)",2088,3320,3532
31,NC_029042-94,1,"[3543, 3544)",2088,3543,3544
32,NC_029042-94,1,"[3551, 3978)",2514,3551,3978
33,NC_029042-94,1,"[4064, 4066)",2515,4064,4066
34,NC_029042-94,1,"[4073, 4115)",2556,4073,4115
35,NC_029042-94,1,"[4182, 4386)",2759,4182,4386
36,NC_029042-94,1,"[4502, 4566)",2822,4502,4566
37,NC_029042-94,1,"[4590, 4729)",2960,4590,4729
38,NC_029042-94,1,"[4763, 4787)",2983,4763,4787
39,NC_029042-94,1,"[4792, 5100)",3290,4792,5100
40,NC_029042-94,1,"[5202, 5299)",3386,5202,5299
41,NC_029042-94,1,"[5304, 5409)",3490,5304,5409
42,NC_029042-94,1,"[5418, 5423)",3494,5418,5423
43,NC_029042-94,1,"[5449, 5452)",3496,5449,5452
44,NC_029042-94,1,"[5455, 5456)",3496,5455,5456
45,NC_029042-94,1,"[5457, 5458)",3496,5457,5458
46,NC_029042-94,1,"[5459, 5460)",3496,5459,5460
47,NC_029042-94,1,"[5461, 5464)",3498,5461,5464
48,NC_029042-94,1,"[5485, 5712)",3724,5485,5712
49,NC_029042-94,1,"[5786, 5787)",3724,5786,5787
50,NC_029042-94,1,"[5792, 5895)",3826,5792,5895
51,NC_029042-94,1,"[5916, 5959)",3868,5916,5959
52,NC_029042-94,1,"[5961, 5963)",3869,5961,5963
53,NC_029042-94,1,"[5988, 5992)",3872,5988,5992
54,NC_029042-94,1,"[6005, 6006)",3872,6005,6006
55,NC_029042-94,1,"[6018, 6021)",3874,6018,6021
56,NC_029042-94,1,"[6035, 6039)",3877,6035,6039
57,NC_029042-94,1,"[6040, 6228)",4064,6040,6228
58,NC_029042-94,1,"[6230, 6235)",4068,6230,6235
59,NC_029042-94,1,"[6323, 6347)",4091,6323,6347
60,NC_029042-94,1,"[6426, 6732)",4396,6426,6732
61,NC_029042-94,1,"[6810, 6868)",4453,6810,6868
62,NC_029042-94,1,"[6873, 6875)",4454,6873,6875
63,NC_029042-94,1,"[6995, 7126)",4584,6995,7126
64,NC_029042-94,1,"[7344, 7369)",4608,7344,7369
65,NC_029042-94,1,"[7500, 7501)",4608,7500,7501
66,NC_029042-94,1,"[7503, 7590)",4694,7503,7590
67,NC_029042-94,1,"[7650, 7752)",4795,7650,7752
68,NC_029042-94,1,"[7815, 7916)",4895,7815,7916
69,NC_029042-94,1,"[7935, 7941)",4900,7935,7941
0,NC_029042-95,1,"[0, 192)",191,0,192
1,NC_029042-95,1,"[193, 204)",201,193,204
2,NC_029042-95,1,"[358, 361)",203,358,361
3,NC_029042-95,1,"[510, 606)",298,510,606
4,NC_029042-95,1,"[608, 610)",299,608,610
5,NC_029042-95,1,"[612, 954)",640,612,954
6,NC_029042-95,1,"[1006, 1007)",640,1006,1007
7,NC_029042-95,1,"[1008, 1010)",641,1008,1010
8,NC_029042-95,1,"[1013, 1014)",641,1013,1014
9,NC_029042-95,1,"[1056, 1122)",706,1056,1122
10,NC_029042-95,1,"[1178, 1181)",708,1178,1181
11,NC_029042-95,1,"[1530, 1625)",802,1530,1625
12,NC_029042-95,1,"[1626, 1627)",802,1626,1627
13,NC_029042-95,1,"[1632, 3306)",2475,1632,3306
14,NC_029042-95,1,"[3317, 3468)",2625,3317,3468
15,NC_029042-95,1,"[3595, 3671)",2700,3595,3671
16,NC_029042-95,1,"[3672, 3697)",2724,3672,3697
17,NC_029042-95,1,"[3728, 3771)",2766,3728,3771
18,NC_029042-95,1,"[3777, 4080)",3068,3777,4080
19,NC_029042-95,1,"[4261, 4264)",3070,4261,4264
20,NC_029042-95,1,"[4279, 4281)",3071,4279,4281
21,NC_029042-95,1,"[4386, 4614)",3298,4386,4614
22,NC_029042-95,1,"[4616, 4620)",3301,4616,4620
23,NC_029042-95,1,"[4629, 4641)",3312,4629,4641
24,NC_029042-95,1,"[4642, 4644)",3313,4642,4644
25,NC_029042-95,1,"[4657, 4665)",3320,4657,4665
26,NC_029042-95,1,"[4674, 4692)",3337,4674,4692
27,NC_029042-95,1,"[4768, 4794)",3362,4768,4794
28,NC_029042-95,1,"[5100, 5116)",3377,5100,5116
29,NC_029042-95,1,"[5118, 5158)",3416,5118,5158
30,NC_029042-95,1,"[5174, 5176)",3417,5174,5176
31,NC_029042-95,1,"[5202, 5304)",3518,5202,5304
32,NC_029042-95,1,"[5349, 5406)",3574,5349,5406
33,NC_029042-95,1,"[5508, 5514)",3579,5508,5514
34,NC_029042-95,1,"[5543, 5591)",3626,5543,5591
35,NC_029042-95,1,"[5610, 6324)",4339,5610,6324
36,NC_029042-95,1,"[6327, 6341)",4352,6327,6341
37,NC_029042-95,1,"[6342, 6528)",4537,6342,6528
38,NC_029042-95,1,"[6625, 6627)",4538,6625,6627
39,NC_029042-95,1,"[6628, 6630)",4539,6628,6630
40,NC_029042-95,1,"[6645, 6668)",4561,6645,6668
41,NC_029042-95,1,"[6673, 6675)",4562,6673,6675
42,NC_029042-95,1,"[6732, 6834)",4663,6732,6834
43,NC_029042-95,1,"[6838, 6842)",4666,6838,6842
44,NC_029042-95,1,"[6877, 6883)",4671,6877,6883
45,NC_029042-95,1,"[6887, 7002)",4785,6887,7002
46,NC_029042-95,1,"[7056, 7189)",4917,7056,7189
47,NC_029042-95,1,"[7242, 7446)",5120,7242,7446
48,NC_029042-95,1,"[7650, 7755)",5224,7650,7755
49,NC_029042-95,1,"[7838, 8310)",5695,7838,8310
50,NC_029042-95,1,"[8315, 8319)",5698,8315,8319
51,NC_029042-95,1,"[8326, 8328)",5699,8326,8328
52,NC_029042-95,1,"[8329, 8371)",5740,8329,8371
53,NC_029042-95,1,"[8373, 8377)",5743,8373,8377
54,NC_029042-95,1,"[8399, 8465)",5808,8399,8465
55,NC_029042-95,1,"[8466, 8568)",5909,8466,8568
56,NC_029042-95,1,"[8657, 8685)",5936,8657,8685
57,NC_029042-95,1,"[8691, 8704)",5948,8691,8704
58,NC_029042-95,1,"[8772, 9078)",6253,8772,9078
59,NC_029042-95,1,"[9151, 9191)",6292,9151,9191
60,NC_029042-95,1,"[9282, 9588)",6597,9282,9588
61,NC_029042-95,1,"[9673, 9677)",6600,9673,9677
62,NC_029042-95,1,"[9681, 9690)",6608,9681,9690
63,NC_029042-95,1,"[9792, 9860)",6675,9792,9860
64,NC_029042-95,1,"[9894, 9996)",6776,9894,9996
65,NC_029042-95,1,"[10065, 10183)",6893,10065,10183
66,NC_029042-95,1,"[10270, 10271)",6893,10270,10271
67,NC_029042-95,1,"[10272, 10333)",6953,10272,10333
68,NC_029042-95,1,"[10343, 10371)",6980,10343,10371
69,NC_029042-95,1,"[10404, 10506)",7081,10404,10506
0,NC_029042-96,1,"[106, 160)",53,106,160
1,NC_029042-96,1,"[162, 167)",57,162,167
2,NC_029042-96,1,"[204, 306)",158,204,306
3,NC_029042-96,1,"[397, 398)",158,397,398
4,NC_029042-96,1,"[400, 408)",165,400,408
5,NC_029042-96,1,"[661, 662)",165,661,662
6,NC_029042-96,1,"[666, 674)",172,666,674
7,NC_029042-96,1,"[714, 805)",262,714,805
8,NC_029042-96,1,"[816, 1326)",771,816,1326
9,NC_029042-96,1,"[1340, 1350)",780,1340,1350
10,NC_029042-96,1,"[1354, 1355)",780,1354,1355
11,NC_029042-96,1,"[1370, 1461)",870,1370,1461
12,NC_029042-96,1,"[1527, 1938)",1280,1527,1938
13,NC_029042-96,1,"[2190, 2192)",1281,2190,2192
14,NC_029042-96,1,"[2198, 2220)",1302,2198,2220
15,NC_029042-96,1,"[2244, 2349)",1406,2244,2349
16,NC_029042-96,1,"[2352, 2353)",1406,2352,2353
17,NC_029042-96,1,"[2371, 2376)",1410,2371,2376
18,NC_029042-96,1,"[2378, 2380)",1411,2378,2380
19,NC_029042-96,1,"[2383, 2396)",1423,2383,2396
20,NC_029042-96,1,"[2399, 2400)",1423,2399,2400
21,NC_029042-96,1,"[2403, 2652)",1671,2403,2652
22,NC_029042-96,1,"[2765, 2774)",1679,2765,2774
23,NC_029042-96,1,"[2879, 2990)",1789,2879,2990
24,NC_029042-96,1,"[2992, 3005)",1801,2992,3005
25,NC_029042-96,1,"[3006, 3009)",1803,3006,3009
26,NC_029042-96,1,"[3060, 3189)",1931,3060,3189
27,NC_029042-96,1,"[3190, 3197)",1937,3190,3197
28,NC_029042-96,1,"[3245, 3264)",1955,3245,3264
29,NC_029042-96,1,"[3358, 3359)",1955,3358,3359
30,NC_029042-96,1,"[3360, 3366)",1960,3360,3366
31,NC_029042-96,1,"[3387, 3391)",1963,3387,3391
32,NC_029042-96,1,"[3416, 3420)",1966,3416,3420
33,NC_029042-96,1,"[3433, 3434)",1966,3433,3434
34,NC_029042-96,1,"[3435, 3442)",1972,3435,3442
35,NC_029042-96,1,"[3468, 3672)",2175,3468,3672
36,NC_029042-96,1,"[3770, 3843)",2247,3770,3843
37,NC_029042-96,1,"[3844, 3845)",2247,3844,3845
38,NC_029042-96,1,"[3876, 4336)",2706,3876,4336
39,NC_029042-96,1,"[4352, 4386)",2739,4352,4386
40,NC_029042-96,1,"[4441, 4561)",2858,4441,4561
41,NC_029042-96,1,"[4590, 4896)",3163,4590,4896
42,NC_029042-96,1,"[4998, 5075)",3239,4998,5075
43,NC_029042-96,1,"[5201, 5202)",3239,5201,5202
44,NC_029042-96,1,"[5304, 5508)",3442,5304,5508
45,NC_029042-96,1,"[5619, 5893)",3715,5619,5893
46,NC_029042-96,1,"[5894, 5895)",3715,5894,5895
47,NC_029042-96,1,"[5912, 6235)",4037,5912,6235
48,NC_029042-96,1,"[6246, 6528)",4318,6246,6528
49,NC_029042-96,1,"[6600, 6616)",4333,6600,6616
50,NC_029042-96,1,"[6618, 7038)",4752,6618,7038
51,NC_029042-96,1,"[7091, 7140)",4800,7091,7140
52,NC_029042-96,1,"[7210, 7239)",4828,7210,7239
53,NC_029042-96,1,"[7242, 7260)",4845,7242,7260
54,NC_029042-96,1,"[7267, 7278)",4855,7267,7278
55,NC_029042-96,1,"[7344, 7548)",5058,7344,7548
56,NC_029042-96,1,"[7637, 7650)",5070,7637,7650
57,NC_029042-96,1,"[7854, 7951)",5166,7854,7951
58,NC_029042-96,1,"[7956, 8058)",5267,7956,8058
0,NC_029042-97,1,"[0, 408)",407,0,408
1,NC_029042-97,1,"[462, 471)",415,462,471
2,NC_029042-97,1,"[475, 543)",482,475,543
3,NC_029042-97,1,"[612, 637)",506,612,637
4,NC_029042-97,1,"[714, 816)",607,714,816
5,NC_029042-97,1,"[880, 1000)",726,880,1000
6,NC_029042-97,1,"[1007, 1008)",726,1007,1008
7,NC_029042-97,1,"[1020, 1034)",739,1020,1034
8,NC_029042-97,1,"[1053, 1056)",741,1053,1056
9,NC_029042-97,1,"[1069, 1224)",895,1069,1224
10,NC_029042-97,1,"[1278, 1279)",895,1278,1279
11,NC_029042-97,1,"[1308, 1310)",896,1308,1310
12,NC_029042-97,1,"[1326, 1360)",929,1326,1360
13,NC_029042-97,1,"[1428, 1530)",1030,1428,1530
14,NC_029042-97,1,"[1632, 1693)",1090,1632,1693
15,NC_029042-97,1,"[1734, 2050)",1405,1734,2050
16,NC_029042-97,1,"[2064, 2088)",1428,2064,2088
17,NC_029042-97,1,"[2136, 2142)",1433,2136,2142
18,NC_029042-97,1,"[2190, 2242)",1484,2190,2242
19,NC_029042-97,1,"[2244, 2335)",1574,2244,2335
20,NC_029042-97,1,"[2346, 3586)",2813,2346,3586
21,NC_029042-97,1,"[3587, 3596)",2821,3587,3596
22,NC_029042-97,1,"[3717, 3774)",2877,3717,3774
23,NC_029042-97,1,"[3876, 3895)",2895,3876,3895
24,NC_029042-97,1,"[3897, 3900)",2897,3897,3900
25,NC_029042-97,1,"[4006, 4080)",2970,4006,4080
26,NC_029042-97,1,"[4098, 4107)",2978,4098,4107
27,NC_029042-97,1,"[4109, 4274)",3142,4109,4274
28,NC_029042-97,1,"[4284, 4307)",3164,4284,4307
29,NC_029042-97,1,"[4485, 4794)",3472,4485,4794
30,NC_029042-97,1,"[4998, 5058)",3531,4998,5058
31,NC_029042-97,1,"[5100, 5202)",3632,5100,5202
32,NC_029042-97,1,"[5515, 5517)",3633,5515,5517
33,NC_029042-97,1,"[5528, 5530)",3634,5528,5530
34,NC_029042-97,1,"[5533, 5543)",3643,5533,5543
35,NC_029042-97,1,"[5550, 5553)",3645,5550,5553
36,NC_029042-97,1,"[5559, 5560)",3645,5559,5560
37,NC_029042-97,1,"[5561, 5585)",3668,5561,5585
38,NC_029042-97,1,"[5610, 5712)",3769,5610,5712
39,NC_029042-97,1,"[5715, 5820)",3873,5715,5820
40,NC_029042-97,1,"[5822, 5823)",3873,5822,5823
41,NC_029042-97,1,"[6022, 6110)",3960,6022,6110
42,NC_029042-97,1,"[6142, 6156)",3973,6142,6156
43,NC_029042-97,1,"[6171, 6172)",3973,6171,6172
44,NC_029042-97,1,"[6190, 6191)",3973,6190,6191
45,NC_029042-97,1,"[6222, 6272)",4022,6222,6272
46,NC_029042-97,1,"[6324, 6547)",4244,6324,6547
47,NC_029042-97,1,"[6713, 6716)",4246,6713,6716
48,NC_029042-97,1,"[6719, 6721)",4247,6719,6721
49,NC_029042-97,1,"[6732, 6761)",4275,6732,6761
50,NC_029042-97,1,"[6762, 6769)",4281,6762,6769
51,NC_029042-97,1,"[6834, 6850)",4296,6834,6850
52,NC_029042-97,1,"[7044, 7128)",4379,7044,7128
53,NC_029042-97,1,"[7129, 7132)",4381,7129,7132
54,NC_029042-97,1,"[7165, 7170)",4385,7165,7170
55,NC_029042-97,1,"[7173, 7304)",4515,7173,7304
56,NC_029042-97,1,"[7752, 7847)",4609,7752,7847
57,NC_029042-97,1,"[7947, 7956)",4617,7947,7956
58,NC_029042-97,1,"[8262, 8351)",4705,8262,8351
59,NC_029042-97,1,"[8403, 8522)",4823,8403,8522
60,NC_029042-97,1,"[8614, 8670)",4878,8614,8670
61,NC_029042-97,1,"[8842, 8856)",4891,8842,8856
62,NC_029042-97,1,"[8874, 8958)",4974,8874,8958
63,NC_029042-97,1,"[8976, 9078)",5075,8976,9078
64,NC_029042-97,1,"[9179, 9180)",5075,9179,9180
65,NC_029042-97,1,"[9192, 9220)",5102,9192,9220
66,NC_029042-97,1,"[9282, 9384)",5203,9282,9384
0,NC_029042-98,1,"[54, 196)",141,54,196
1,NC_029042-98,1,"[225, 229)",144,225,229
2,NC_029042-98,1,"[230, 241)",154,230,241
3,NC_029042-98,1,"[272, 273)",154,272,273
4,NC_029042-98,1,"[292, 294)",155,292,294
5,NC_029042-98,1,"[296, 299)",157,296,299
6,NC_029042-98,1,"[306, 347)",197,306,347
7,NC_029042-98,1,"[499, 503)",200,499,503
8,NC_029042-98,1,"[504, 510)",205,504,510
9,NC_029042-98,1,"[816, 855)",243,816,855
10,NC_029042-98,1,"[856, 857)",243,856,857
11,NC_029042-98,1,"[1024, 1109)",327,1024,1109
12,NC_029042-98,1,"[1122, 1530)",734,1122,1530
13,NC_029042-98,1,"[1581, 1632)",784,1581,1632
14,NC_029042-98,1,"[2040, 2104)",847,2040,2104
15,NC_029042-98,1,"[2243, 2244)",847,2243,2244
16,NC_029042-98,1,"[2346, 2665)",1165,2346,2665
17,NC_029042-98,1,"[2669, 2671)",1166,2669,2671
18,NC_029042-98,1,"[2754, 2797)",1208,2754,2797
19,NC_029042-98,1,"[2800, 2801)",1208,2800,2801
20,NC_029042-98,1,"[2829, 2830)",1208,2829,2830
21,NC_029042-98,1,"[2850, 2853)",1210,2850,2853
22,NC_029042-98,1,"[2928, 3052)",1333,2928,3052
23,NC_029042-98,1,"[3126, 3162)",1368,3126,3162
24,NC_029042-98,1,"[3366, 3427)",1428,3366,3427
25,NC_029042-98,1,"[3519, 3522)",1430,3519,3522
26,NC_029042-98,1,"[3523, 3543)",1449,3523,3543
27,NC_029042-98,1,"[3545, 3561)",1464,3545,3561
28,NC_029042-98,1,"[3569, 3587)",1481,3569,3587
29,NC_029042-98,1,"[3672, 3774)",1582,3672,3774
30,NC_029042-98,1,"[3779, 3799)",1601,3779,3799
31,NC_029042-98,1,"[3855, 3859)",1604,3855,3859
32,NC_029042-98,1,"[3862, 3868)",1609,3862,3868
33,NC_029042-98,1,"[3871, 3921)",1658,3871,3921
34,NC_029042-98,1,"[3978, 4144)",1823,3978,4144
35,NC_029042-98,1,"[4145, 4150)",1827,4145,4150
