,Read number,Strand,Location of the gene in the read,Read length,Start,End
11,NC_030948-16,1,"[1287, 1291)",871,1287,1291
12,NC_030948-16,1,"[1326, 1405)",949,1326,1405
13,NC_030948-16,1,"[1428, 1432)",952,1428,1432
14,NC_030948-16,1,"[1435, 1449)",965,1435,1449
15,NC_030948-16,1,"[1464, 1465)",965,1464,1465
16,NC_030948-16,1,"[1541, 1548)",971,1541,1548
17,NC_030948-16,1,"[1696, 1945)",1219,1696,1945
18,NC_030948-16,1,"[1965, 1969)",1222,1965,1969
19,NC_030948-16,1,"[1970, 1976)",1227,1970,1976
20,NC_030948-16,1,"[1982, 2109)",1353,1982,2109
21,NC_030948-16,1,"[2225, 2244)",1371,2225,2244
22,NC_030948-16,1,"[2346, 2370)",1394,2346,2370
23,NC_030948-16,1,"[2397, 2406)",1402,2397,2406
24,NC_030948-16,1,"[2448, 2599)",1552,2448,2599
25,NC_030948-16,1,"[2604, 2637)",1584,2604,2637
26,NC_030948-16,1,"[2645, 2652)",1590,2645,2652
27,NC_030948-16,1,"[2856, 2953)",1686,2856,2953
0,NC_030948-17,1,"[0, 7)",6,0,7
1,NC_030948-17,1,"[24, 198)",179,24,198
2,NC_030948-17,1,"[203, 460)",435,203,460
3,NC_030948-17,1,"[510, 523)",447,510,523
4,NC_030948-17,1,"[527, 612)",531,527,612
5,NC_030948-17,1,"[717, 793)",606,717,793
6,NC_030948-17,1,"[816, 1247)",1036,816,1247
7,NC_030948-17,1,"[1258, 1530)",1307,1258,1530
8,NC_030948-17,1,"[1769, 1835)",1372,1769,1835
9,NC_030948-17,1,"[1848, 1849)",1372,1848,1849
10,NC_030948-17,1,"[1889, 1900)",1382,1889,1900
11,NC_030948-17,1,"[1901, 1907)",1387,1901,1907
12,NC_030948-17,1,"[1938, 1943)",1391,1938,1943
13,NC_030948-17,1,"[1944, 1958)",1404,1944,1958
14,NC_030948-17,1,"[1976, 1989)",1416,1976,1989
15,NC_030948-17,1,"[1993, 1995)",1417,1993,1995
16,NC_030948-17,1,"[2009, 2010)",1417,2009,2010
17,NC_030948-17,1,"[2040, 2162)",1538,2040,2162
18,NC_030948-17,1,"[2168, 2171)",1540,2168,2171
19,NC_030948-17,1,"[2252, 2419)",1706,2252,2419
20,NC_030948-17,1,"[2423, 2448)",1730,2423,2448
21,NC_030948-17,1,"[2562, 2605)",1772,2562,2605
0,NC_030948-18,1,"[0, 8)",7,0,8
1,NC_030948-18,1,"[9, 11)",8,9,11
2,NC_030948-18,1,"[14, 28)",21,14,28
3,NC_030948-18,1,"[30, 61)",51,30,61
4,NC_030948-18,1,"[65, 180)",165,65,180
5,NC_030948-18,1,"[190, 306)",280,190,306
6,NC_030948-18,1,"[354, 408)",333,354,408
7,NC_030948-18,1,"[718, 744)",358,718,744
8,NC_030948-18,1,"[745, 767)",379,745,767
9,NC_030948-18,1,"[894, 918)",402,894,918
10,NC_030948-18,1,"[1020, 1044)",425,1020,1044
11,NC_030948-18,1,"[1204, 1206)",426,1204,1206
12,NC_030948-18,1,"[1219, 1272)",478,1219,1272
13,NC_030948-18,1,"[1440, 1459)",496,1440,1459
14,NC_030948-18,1,"[1631, 1727)",591,1631,1727
15,NC_030948-18,1,"[1893, 1923)",620,1893,1923
16,NC_030948-18,1,"[1932, 1938)",625,1932,1938
17,NC_030948-18,1,"[2078, 2082)",628,2078,2082
18,NC_030948-18,1,"[2180, 2186)",633,2180,2186
19,NC_030948-18,1,"[2193, 2215)",654,2193,2215
20,NC_030948-18,1,"[2236, 2244)",661,2236,2244
21,NC_030948-18,1,"[2694, 2695)",661,2694,2695
22,NC_030948-18,1,"[2701, 2745)",704,2701,2745
23,NC_030948-18,1,"[2754, 2820)",769,2754,2820
24,NC_030948-18,1,"[2821, 2822)",769,2821,2822
25,NC_030948-18,1,"[2856, 2859)",771,2856,2859
26,NC_030948-18,1,"[2883, 2885)",772,2883,2885
27,NC_030948-18,1,"[2886, 2932)",817,2886,2932
28,NC_030948-18,1,"[2958, 3115)",973,2958,3115
29,NC_030948-18,1,"[3118, 3140)",994,3118,3140
30,NC_030948-18,1,"[3147, 3151)",997,3147,3151
31,NC_030948-18,1,"[3158, 3162)",1000,3158,3162
32,NC_030948-18,1,"[3167, 3264)",1096,3167,3264
33,NC_030948-18,1,"[3300, 3304)",1099,3300,3304
34,NC_030948-18,1,"[3333, 3334)",1099,3333,3334
35,NC_030948-18,1,"[3337, 3349)",1110,3337,3349
36,NC_030948-18,1,"[3350, 3353)",1112,3350,3353
37,NC_030948-18,1,"[3357, 3366)",1120,3357,3366
38,NC_030948-18,1,"[3468, 3533)",1184,3468,3533
39,NC_030948-18,1,"[3537, 3540)",1186,3537,3540
40,NC_030948-18,1,"[3541, 3544)",1188,3541,3544
0,NC_030948-19,1,"[0, 111)",110,0,111
1,NC_030948-19,1,"[199, 255)",165,199,255
2,NC_030948-19,1,"[306, 519)",377,306,519
3,NC_030948-19,1,"[647, 733)",462,647,733
4,NC_030948-19,1,"[816, 1042)",687,816,1042
5,NC_030948-19,1,"[1054, 1224)",856,1054,1224
6,NC_030948-19,1,"[1290, 1360)",925,1290,1360
7,NC_030948-19,1,"[1361, 1365)",928,1361,1365
8,NC_030948-19,1,"[1366, 1368)",929,1366,1368
9,NC_030948-19,1,"[1471, 1477)",934,1471,1477
10,NC_030948-19,1,"[1479, 1670)",1124,1479,1670
11,NC_030948-19,1,"[1727, 2040)",1436,1727,2040
12,NC_030948-19,1,"[2119, 2122)",1438,2119,2122
13,NC_030948-19,1,"[2129, 2135)",1443,2129,2135
14,NC_030948-19,1,"[2138, 2142)",1446,2138,2142
15,NC_030948-19,1,"[2276, 2277)",1446,2276,2277
16,NC_030948-19,1,"[2281, 2282)",1446,2281,2282
17,NC_030948-19,1,"[2283, 2346)",1508,2283,2346
18,NC_030948-19,1,"[2448, 2513)",1572,2448,2513
19,NC_030948-19,1,"[2515, 2523)",1579,2515,2523
20,NC_030948-19,1,"[2550, 2655)",1683,2550,2655
21,NC_030948-19,1,"[2721, 2731)",1692,2721,2731
22,NC_030948-19,1,"[2750, 2754)",1695,2750,2754
23,NC_030948-19,1,"[2851, 2856)",1699,2851,2856
24,NC_030948-19,1,"[2961, 2973)",1710,2961,2973
25,NC_030948-19,1,"[3060, 3069)",1718,3060,3069
26,NC_030948-19,1,"[3071, 3073)",1719,3071,3073
27,NC_030948-19,1,"[3075, 3162)",1805,3075,3162
28,NC_030948-19,1,"[3230, 3236)",1810,3230,3236
29,NC_030948-19,1,"[3246, 3264)",1827,3246,3264
30,NC_030948-19,1,"[3366, 3431)",1891,3366,3431
31,NC_030948-19,1,"[3468, 3570)",1992,3468,3570
0,NC_030948-20,1,"[167, 199)",31,167,199
1,NC_030948-20,1,"[204, 296)",122,204,296
2,NC_030948-20,1,"[306, 310)",125,306,310
3,NC_030948-20,1,"[321, 325)",128,321,325
4,NC_030948-20,1,"[329, 330)",128,329,330
5,NC_030948-20,1,"[331, 494)",290,331,494
6,NC_030948-20,1,"[495, 502)",296,495,502
7,NC_030948-20,1,"[507, 510)",298,507,510
8,NC_030948-20,1,"[568, 612)",341,568,612
9,NC_030948-20,1,"[714, 761)",387,714,761
10,NC_030948-20,1,"[816, 918)",488,816,918
11,NC_030948-20,1,"[1122, 1223)",588,1122,1223
12,NC_030948-20,1,"[1224, 1344)",707,1224,1344
13,NC_030948-20,1,"[1351, 1400)",755,1351,1400
14,NC_030948-20,1,"[1428, 1530)",856,1428,1530
15,NC_030948-20,1,"[1595, 1836)",1096,1595,1836
16,NC_030948-20,1,"[1915, 2237)",1417,1915,2237
17,NC_030948-20,1,"[2238, 2244)",1422,2238,2244
18,NC_030948-20,1,"[2278, 2279)",1422,2278,2279
19,NC_030948-20,1,"[2285, 2346)",1482,2285,2346
20,NC_030948-20,1,"[2363, 2403)",1521,2363,2403
21,NC_030948-20,1,"[2440, 2544)",1624,2440,2544
22,NC_030948-20,1,"[2550, 2652)",1725,2550,2652
23,NC_030948-20,1,"[2780, 2798)",1742,2780,2798
24,NC_030948-20,1,"[2800, 2821)",1762,2800,2821
25,NC_030948-20,1,"[2856, 3205)",2110,2856,3205
26,NC_030948-20,1,"[3264, 3939)",2784,3264,3939
27,NC_030948-20,1,"[3950, 3954)",2787,3950,3954
28,NC_030948-20,1,"[3956, 3959)",2789,3956,3959
29,NC_030948-20,1,"[3978, 4284)",3094,3978,4284
30,NC_030948-20,1,"[4297, 4305)",3101,4297,4305
31,NC_030948-20,1,"[4329, 4341)",3112,4329,4341
32,NC_030948-20,1,"[4346, 4386)",3151,4346,4386
33,NC_030948-20,1,"[4488, 4517)",3179,4488,4517
34,NC_030948-20,1,"[4518, 4521)",3181,4518,4521
35,NC_030948-20,1,"[4523, 4526)",3183,4523,4526
36,NC_030948-20,1,"[4590, 5304)",3896,4590,5304
0,NC_030948-21,1,"[0, 113)",112,0,113
1,NC_030948-21,1,"[120, 129)",120,120,129
2,NC_030948-21,1,"[510, 549)",158,510,549
3,NC_030948-21,1,"[556, 558)",159,556,558
4,NC_030948-21,1,"[681, 786)",263,681,786
5,NC_030948-21,1,"[904, 918)",276,904,918
6,NC_030948-21,1,"[1122, 1326)",479,1122,1326
7,NC_030948-21,1,"[1365, 1370)",483,1365,1370
8,NC_030948-21,1,"[1388, 1428)",522,1388,1428
9,NC_030948-21,1,"[1530, 1586)",577,1530,1586
10,NC_030948-21,1,"[1587, 1588)",577,1587,1588
11,NC_030948-21,1,"[1624, 1734)",686,1624,1734
12,NC_030948-21,1,"[2040, 2110)",755,2040,2110
13,NC_030948-21,1,"[2113, 2118)",759,2113,2118
14,NC_030948-21,1,"[2142, 2244)",860,2142,2244
15,NC_030948-21,1,"[2354, 2355)",860,2354,2355
16,NC_030948-21,1,"[2357, 2424)",926,2357,2424
17,NC_030948-21,1,"[2448, 2550)",1027,2448,2550
18,NC_030948-21,1,"[2555, 2652)",1123,2555,2652
19,NC_030948-21,1,"[2744, 2754)",1132,2744,2754
20,NC_030948-21,1,"[2856, 2886)",1161,2856,2886
21,NC_030948-21,1,"[3055, 3074)",1179,3055,3074
22,NC_030948-21,1,"[3088, 3089)",1179,3088,3089
23,NC_030948-21,1,"[3104, 3109)",1183,3104,3109
24,NC_030948-21,1,"[3136, 3146)",1192,3136,3146
25,NC_030948-21,1,"[3147, 3148)",1192,3147,3148
26,NC_030948-21,1,"[3162, 3198)",1227,3162,3198
27,NC_030948-21,1,"[3232, 3468)",1462,3232,3468
28,NC_030948-21,1,"[3556, 3596)",1501,3556,3596
29,NC_030948-21,1,"[3704, 3774)",1570,3704,3774
30,NC_030948-21,1,"[3876, 3918)",1611,3876,3918
31,NC_030948-21,1,"[4075, 4079)",1614,4075,4079
32,NC_030948-21,1,"[4080, 4121)",1654,4080,4121
33,NC_030948-21,1,"[4197, 4288)",1744,4197,4288
34,NC_030948-21,1,"[4314, 4317)",1746,4314,4317
35,NC_030948-21,1,"[4363, 4366)",1748,4363,4366
36,NC_030948-21,1,"[4474, 4479)",1752,4474,4479
37,NC_030948-21,1,"[4640, 4719)",1830,4640,4719
38,NC_030948-21,1,"[4817, 4818)",1830,4817,4818
39,NC_030948-21,1,"[4831, 4838)",1836,4831,4838
40,NC_030948-21,1,"[4839, 4843)",1839,4839,4843
41,NC_030948-21,1,"[4844, 4846)",1840,4844,4846
42,NC_030948-21,1,"[4847, 4853)",1845,4847,4853
43,NC_030948-21,1,"[4889, 4896)",1851,4889,4896
44,NC_030948-21,1,"[4998, 5052)",1904,4998,5052
45,NC_030948-21,1,"[5058, 5060)",1905,5058,5060
46,NC_030948-21,1,"[5120, 5124)",1908,5120,5124
47,NC_030948-21,1,"[5128, 5202)",1981,5128,5202
48,NC_030948-21,1,"[5304, 5398)",2074,5304,5398
49,NC_030948-21,1,"[5406, 5610)",2277,5406,5610
50,NC_030948-21,1,"[5707, 5741)",2310,5707,5741
51,NC_030948-21,1,"[5867, 5932)",2374,5867,5932
52,NC_030948-21,1,"[5934, 5937)",2376,5934,5937
53,NC_030948-21,1,"[6222, 6244)",2397,6222,6244
54,NC_030948-21,1,"[6246, 6314)",2464,6246,6314
0,NC_030948-22,1,"[0, 138)",137,0,138
1,NC_030948-22,1,"[159, 162)",139,159,162
2,NC_030948-22,1,"[169, 170)",139,169,170
3,NC_030948-22,1,"[176, 180)",142,176,180
4,NC_030948-22,1,"[187, 192)",146,187,192
5,NC_030948-22,1,"[204, 510)",451,204,510
6,NC_030948-22,1,"[598, 693)",545,598,693
7,NC_030948-22,1,"[717, 839)",666,717,839
8,NC_030948-22,1,"[840, 843)",668,840,843
9,NC_030948-22,1,"[844, 852)",675,844,852
10,NC_030948-22,1,"[855, 857)",676,855,857
11,NC_030948-22,1,"[862, 868)",681,862,868
12,NC_030948-22,1,"[878, 881)",683,878,881
13,NC_030948-22,1,"[973, 975)",684,973,975
14,NC_030948-22,1,"[978, 1059)",764,978,1059
15,NC_030948-22,1,"[1218, 1224)",769,1218,1224
16,NC_030948-22,1,"[1338, 1339)",769,1338,1339
17,NC_030948-22,1,"[1340, 1343)",771,1340,1343
18,NC_030948-22,1,"[1345, 1389)",814,1345,1389
19,NC_030948-22,1,"[1405, 1734)",1142,1405,1734
20,NC_030948-22,1,"[1810, 1846)",1177,1810,1846
21,NC_030948-22,1,"[1848, 1853)",1181,1848,1853
22,NC_030948-22,1,"[1854, 1887)",1213,1854,1887
23,NC_030948-22,1,"[1938, 2040)",1314,1938,2040
24,NC_030948-22,1,"[2244, 2337)",1406,2244,2337
25,NC_030948-22,1,"[2346, 2856)",1915,2346,2856
26,NC_030948-22,1,"[2931, 2933)",1916,2931,2933
27,NC_030948-22,1,"[2934, 2937)",1918,2934,2937
28,NC_030948-22,1,"[2958, 3033)",1992,2958,3033
29,NC_030948-22,1,"[3104, 3136)",2023,3104,3136
30,NC_030948-22,1,"[3137, 3162)",2047,3137,3162
31,NC_030948-22,1,"[3366, 3463)",2143,3366,3463
32,NC_030948-22,1,"[3468, 3774)",2448,3468,3774
33,NC_030948-22,1,"[3868, 3880)",2459,3868,3880
34,NC_030948-22,1,"[3885, 3888)",2461,3885,3888
35,NC_030948-22,1,"[3891, 3973)",2542,3891,3973
36,NC_030948-22,1,"[4077, 4078)",2542,4077,4078
37,NC_030948-22,1,"[4080, 4177)",2638,4080,4177
38,NC_030948-22,1,"[4182, 4794)",3249,4182,4794
39,NC_030948-22,1,"[4827, 4828)",3249,4827,4828
40,NC_030948-22,1,"[4830, 4833)",3251,4830,4833
41,NC_030948-22,1,"[4839, 4995)",3406,4839,4995
42,NC_030948-22,1,"[4998, 5100)",3507,4998,5100
0,NC_030948-25,1,"[102, 203)",100,102,203
1,NC_030948-25,1,"[204, 256)",151,204,256
2,NC_030948-25,1,"[408, 509)",251,408,509
3,NC_030948-25,1,"[510, 612)",352,510,612
4,NC_030948-25,1,"[816, 836)",371,816,836
5,NC_030948-25,1,"[918, 1326)",778,918,1326
6,NC_030948-25,1,"[1530, 1734)",981,1530,1734
7,NC_030948-25,1,"[1803, 1814)",991,1803,1814
8,NC_030948-25,1,"[1816, 1836)",1010,1816,1836
9,NC_030948-25,1,"[2040, 2136)",1105,2040,2136
10,NC_030948-25,1,"[2142, 2149)",1111,2142,2149
11,NC_030948-25,1,"[2228, 2244)",1126,2228,2244
12,NC_030948-25,1,"[2308, 2313)",1130,2308,2313
13,NC_030948-25,1,"[2314, 2320)",1135,2314,2320
